image_path,text,label
/root/autodl-tmp/.autodl/AiStudio/data/images/small/8c/8ccb5859.jpg,"find. | Amazon-merk - vinden. Dames Leder Gesloten Teen Hakken,Veelkleurig Vrouw Blauw,5 UK | Color: Veelkleurig Vrouw Blauw | Style: Gesloten-teen pompen | Type: SHOES",1
/root/autodl-tmp/.autodl/AiStudio/data/images/small/8c/8ccb5859.jpg,Amazon Brand - Solimo | Amazon Brand - Solimo Designer Girl Boss On Wood UV Printed Soft Back Case Mobile Cover for Mi Redmi Y2 | Color: Multicolor | Type: CELLULAR_PHONE_CASE,0
/root/autodl-tmp/.autodl/AiStudio/data/images/small/9f/9f76d27b.jpg,"AmazonBasics | 22"" Bottom Mount Drawer Slides, White Powder Coat, 10 Pairs | Color: White Powder Coat | Style: 10 pares | Type: HARDWARE",1
/root/autodl-tmp/.autodl/AiStudio/data/images/small/9f/9f76d27b.jpg,"Amazon Brand - Solimo | Amazon Brand - Solimo Designer Iron Impression 3D Printed Hard Back Case Mobile Cover for Vivo V5 Plus | Color: Others | Type: CELLULAR_PHONE_CASE | Stylish design and appearance, express your unique personality.",0
/root/autodl-tmp/.autodl/AiStudio/data/images/small/66/665cc994.jpg,"AmazonBasics | AmazonBasics PETG 3D Printer Filament, 1.75mm, 1 kg Spool 1.75mm AMG10528516-10 | Color: Translucent Yellow | Style: 1-Pack | Type: MECHANICAL_COMPONENTS | 3D printer filament with 1.75mm diameter + / - .05mm; designed to fit most common 3D printers (check spool size for compatibility); Translucent Yellow; 1 kg spool | Spool's built-in gauge shows percentage of material remaining and approximate length remaining",1
/root/autodl-tmp/.autodl/AiStudio/data/images/small/66/665cc994.jpg,"Amazon Brand - Solimo | Amazon Brand - Solimo Designer Love Print On Cloth Pattern 3D Printed Hard Back Case Mobile Cover for Nokia 7.1 | Color: Others | Type: CELLULAR_PHONE_CASE | Stylish design and appearance, express your unique personality.",0
/root/autodl-tmp/.autodl/AiStudio/data/images/small/b4/b4f9d0cc.jpg,"Stone & Beam | Stone & Beam Stone Brown Swatch, 25020039-01 | Color: Stone Brown | Type: SOFA",1
/root/autodl-tmp/.autodl/AiStudio/data/images/small/b4/b4f9d0cc.jpg,Amazon Brand - Solimo | Amazon Brand - Solimo Designer Multicolor Artistic Blue Pattern Printed Soft Back Case Mobile Cover for Poco X2 / Xiaomi Redmi K30 | Color: multi-colored | Style: colorful | Type: CELLULAR_PHONE_CASE,0
/root/autodl-tmp/.autodl/AiStudio/data/images/small/2b/2b1c2516.jpg,"The Fix | The Fix Amazon Brand Women's French Floral Embroidery Slide Slip-on Loafer, Havana Tan, 6.5 B US | Color: Havana Tan | Style: French Loafer Slide | Type: SHOES",1
/root/autodl-tmp/.autodl/AiStudio/data/images/small/2b/2b1c2516.jpg,"Amazon Basics | AmazonBasics - anteojos de tritan, Copas de vino sin tallo, 20 oz, Transparente, 591.47 mililitros, 1 | Color: Transparente | Style: Copas de vino sin tallo, 20 oz | Type: DRINKING_CUP",0
/root/autodl-tmp/.autodl/AiStudio/data/images/small/9d/9dfccb37.jpg,Amazon Brand - Solimo | Amazon Brand - Solimo Designer Autumn Girl 3D Printed Hard Back Case Mobile Cover for Mi Redmi Go | Color: Multicolor | Type: CELLULAR_PHONE_CASE,1
/root/autodl-tmp/.autodl/AiStudio/data/images/small/9d/9dfccb37.jpg,"Amazon Brand - Solimo | Amazon Brand - Solimo Designer Red Texture 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy A9 Pro | Color: Others | Type: CELLULAR_PHONE_CASE | Stylish design and appearance, express your unique personality.",0
/root/autodl-tmp/.autodl/AiStudio/data/images/small/9f/9f903271.jpg,"Amazon Brand - Solimo | Amazon Brand - Solimo Designer Butterflies Printed Hard Back Case Mobile Cover for Xiaomi Redmi Y2 (D187) | Color: multi-colored | Type: CELLULAR_PHONE_CASE | Stylish design and appearance, express your unique personality | High Resolution UV light-ion 3D Embossed Printing for extraordinary quality and clarity. Printed using high end advanced Japanese machines. Your get our quality promise and design excellence",1
